id_num,id,state,lastLocationUpdate,lastStateChange,batteryLevel,lat,lng,zoneId,code,licencePlate,isRentable,max_lev,geometry
6675,06cd1b96-8a49-4b57-8038-0bbf03484b78,ACTIVE,2020-06-11 22:37:55+00:00,2020-06-10 19:52:25+00:00,77.0,49.435351,8.680771,HEIDELBERG,111607,617WUI,1,20.0,POINT (8.680771 49.435351)
6676,eafd5cbb-baee-4b62-98cd-d2558e66d63e,ACTIVE,2020-06-11 22:40:07+00:00,2020-06-08 19:52:13+00:00,32.0,49.436881,8.677824,HEIDELBERG,119969,393WUG,1,20.0,POINT (8.677823999999999 49.436881)
6677,ec6a0b58-c10c-4ddd-8946-054edc23c142,ACTIVE,2020-06-11 22:35:16+00:00,2020-06-09 20:52:37+00:00,60.0,49.497572,8.457883,MANNHEIM-LUDWIGSHAFEN,121164,831WUI,1,20.0,POINT (8.457883000000001 49.497572)
6678,d2ccd808-30a1-4b26-a206-68068db99456,ACTIVE,2020-06-11 22:38:14+00:00,2020-06-09 20:52:37+00:00,79.0,49.488173,8.470293,MANNHEIM-LUDWIGSHAFEN,118513,523WVI,1,20.0,POINT (8.470293 49.488173)
6679,cdb36af2-78e0-4e19-8618-7a06a65aba33,ACTIVE,2020-06-11 22:37:49+00:00,2020-06-08 19:52:20+00:00,52.0,49.469515,8.483389,MANNHEIM-LUDWIGSHAFEN,110423,344WVI,1,20.0,POINT (8.483389000000001 49.469515)
6680,a7a27e78-e54a-448f-9979-8faaa3eacef6,ACTIVE,2020-06-11 22:44:15+00:00,2020-06-10 19:52:40+00:00,52.0,49.475267,8.48274,MANNHEIM-LUDWIGSHAFEN,123746,849WSD,1,20.0,POINT (8.48274 49.475267)
6681,559df6b5-104a-4c07-b648-a02cf8c8c2ef,ACTIVE,2020-06-11 22:43:10+00:00,2020-06-11 19:52:16+00:00,53.0,49.480954,8.450582,MANNHEIM-LUDWIGSHAFEN,110935,294WVI,1,20.0,POINT (8.450582000000001 49.480954)
6682,3e84984a-042d-463b-a733-64784107e150,ACTIVE,2020-06-11 22:37:20+00:00,2020-06-11 19:52:12+00:00,71.0,49.409556,8.652949,HEIDELBERG,111199,983WSE,1,20.0,POINT (8.652949 49.409556)
6683,e74e810b-ff9f-4689-a61d-5b63421d3e92,ACTIVE,2020-06-11 22:41:10+00:00,2020-06-08 19:52:20+00:00,23.0,49.493473,8.45922,MANNHEIM-LUDWIGSHAFEN,120791,710WUI,1,20.0,POINT (8.45922 49.493473)
6684,26373b8e-4f9f-4640-beae-6fb9e7c19ec5,ACTIVE,2020-06-11 22:43:59+00:00,2020-06-11 19:52:16+00:00,58.0,49.492732,8.467364,MANNHEIM-LUDWIGSHAFEN,125291,491WUG,1,20.0,POINT (8.467364 49.492732)
6685,e66bf25b-a837-44de-94f9-7c667b269cd4,ACTIVE,2020-06-11 22:41:20+00:00,2020-06-10 19:52:40+00:00,51.0,49.493609,8.462414,MANNHEIM-LUDWIGSHAFEN,121627,471WVI,1,20.0,POINT (8.462414000000001 49.493609)
6686,7f31a3bb-9153-4be6-9f26-9a78cd3ce67d,ACTIVE,2020-06-11 22:38:48+00:00,2020-06-08 19:52:20+00:00,87.0,49.472746,8.474394,MANNHEIM-LUDWIGSHAFEN,118651,131WSD,1,20.0,POINT (8.474394 49.472746)
6687,b4142a00-dc52-441c-8be7-719731705da5,ACTIVE,2020-06-11 22:44:27+00:00,2020-06-11 19:52:16+00:00,28.0,49.476036,8.478647,MANNHEIM-LUDWIGSHAFEN,120862,078WUI,1,20.0,POINT (8.478647 49.476036)
6688,f8104747-f31b-4562-a1b6-5c671278b944,ACTIVE,2020-06-11 22:40:17+00:00,2020-06-09 20:51:31+00:00,48.0,49.416767,8.683805,HEIDELBERG,117177,833WUI,1,20.0,POINT (8.683805 49.416767)
6689,07f46bbe-2035-4cfa-bc54-fc3234223786,ACTIVE,2020-06-11 22:44:18+00:00,2020-06-08 19:52:13+00:00,77.0,49.415198,8.690135,HEIDELBERG,114587,231WSD,1,20.0,POINT (8.690135 49.415198)
6690,7a8be272-24b5-4cdd-b751-d561e9711471,ACTIVE,2020-06-11 22:39:26+00:00,2020-06-10 19:52:40+00:00,38.0,49.499575,8.491597,MANNHEIM-LUDWIGSHAFEN,123721,619WSD,1,20.0,POINT (8.491597000000001 49.499575)
6691,2b6d4106-0e01-42fc-b412-8977254e83b3,ACTIVE,2020-06-11 22:38:39+00:00,2020-06-10 19:52:25+00:00,55.0,49.382914,8.662683,HEIDELBERG,116170,274WVI,1,20.0,POINT (8.662682999999999 49.382914)
6692,ad72a091-12bf-481a-b5f8-b0a7471f7c45,ACTIVE,2020-06-11 22:38:55+00:00,2020-06-09 20:52:37+00:00,57.0,49.427152,8.531661,MANNHEIM-LUDWIGSHAFEN,121349,578WSD,1,20.0,POINT (8.531661 49.427152)
6693,23d075d9-63eb-4501-bb5f-58ba6d8fd4e6,ACTIVE,2020-06-11 22:43:58+00:00,2020-06-10 19:52:25+00:00,84.0,49.411094,8.707788,HEIDELBERG,123407,807WSE,1,20.0,POINT (8.707788000000001 49.411094)
6694,a3e65ba9-a3b3-4e28-a0db-d3ec046237ca,ACTIVE,2020-06-11 22:43:27+00:00,2020-06-08 19:52:20+00:00,60.0,49.486059,8.470158,MANNHEIM-LUDWIGSHAFEN,120911,890WSE,1,20.0,POINT (8.470158 49.486059)
6695,09414dc0-6b52-4ae2-93b9-2ef2e8fe37a5,ACTIVE,2020-06-11 22:39:31+00:00,2020-06-10 19:52:40+00:00,33.0,49.484223,8.474006,MANNHEIM-LUDWIGSHAFEN,111218,711WSD,1,20.0,POINT (8.474005999999999 49.484223)
